flexion_mean,valgus_mean,internal_mean,medial_mean,posterior_mean,superior_mean,flexion_std,valgus_std,internal_std,medial_std,posterior_std,superior_std
0.481027279079144,-0.626229192325981,-3.06960274079395,-4.02445131069158,6.77067888867311,-0.804599816531065,0,0,0,0,0,0
-0.487645031663776,-0.598038839125396,-2.85796945710772,-3.86459847683057,6.67973161692624,-0.932549525407628,0,0,0,0,0,0
-1.45710759289371,-0.581794224904911,-2.68371110924035,-3.7667718562406,6.66613374409017,-1.07412743611771,0,0,0,0,0,0
-2.42687929941944,-0.579135523721151,-2.50628217584786,-3.66911725872082,6.67808313448758,-1.22587727489674,0,0,0,0,0,0
-3.3997297114697,-0.585128529938578,-2.33799238780301,-3.59826647044764,6.70340608563805,-1.38555594692311,0,0,0,0,0,0
-4.36503562750202,-0.588236983782397,-2.19279115738002,-3.52766265553209,6.70495403232134,-1.55007183417704,0,0,0,0,0,0
-5.33686456330722,-0.582554559219421,-2.08290531320254,-3.50383321923729,6.73901222273592,-1.73910238824219,0,0,0,0,0,0
-6.30655615858111,-0.567138267341908,-2.01420538041875,-3.49032962739123,6.72306787362201,-1.90085454145483,0,0,0,0,0,0
-7.28030306881633,-0.54070659764416,-1.99183752762189,-3.49410715176881,6.69393134491925,-2.04767439424848,0,0,0,0,0,0
-8.25348630074488,-0.494146257167175,-2.00798195815575,-3.51693564082675,6.63905601948787,-2.17902763891994,0,0,0,0,0,0
-9.22847088562416,-0.436571654624726,-2.06489897612665,-3.55352465799838,6.55524021885339,-2.31615507238036,0,0,0,0,0,0
-10.2055356078719,-0.365978847040025,-2.15428560153725,-3.60929703048227,6.47223953961324,-2.44731450126375,0,0,0,0,0,0
-11.180810157372,-0.290850156284494,-2.25479953360302,-3.64617959201222,6.38057826908399,-2.57160282472525,0,0,0,0,0,0
-12.1565005504744,-0.200698701080563,-2.36410433420096,-3.71569255871851,6.27144781825096,-2.69668124800834,0,0,0,0,0,0
-13.133094958266,-0.099704216102789,-2.48960876042766,-3.77679819876783,6.1657241219563,-2.79377727853696,0,0,0,0,0,0
-14.1087581430244,0.00215797738365486,-2.57969897901415,-3.81757316599333,6.05727009477736,-2.89086239647816,0,0,0,0,0,0
-15.0839438120959,0.122672465635608,-2.70409585001619,-3.8721265651361,5.95937700484366,-2.9743137529971,0,0,0,0,0,0
-16.0621136094472,0.249977535617073,-2.84437071845301,-3.9369463639222,5.84182601882873,-3.03848774046724,0,0,0,0,0,0
-17.0349666191402,0.383050987046706,-3.002880559833,-4.01017010442513,5.70841308140048,-3.1247584762805,0,0,0,0,0,0
-18.0091094475244,0.520212292347066,-3.14645984947106,-4.07932992597282,5.5376691862187,-3.20106357813942,0,0,0,0,0,0
-18.9825261181813,0.664941795728533,-3.27285890203415,-4.13243127767271,5.38479891914155,-3.26144042799821,0,0,0,0,0,0
-19.9547865100943,0.811955339094902,-3.38834154804116,-4.20103069594529,5.23081440060891,-3.31748833266017,0,0,0,0,0,0
-20.9256553038126,0.956723805045212,-3.4957458232685,-4.2353283496586,5.06872316296956,-3.37479082077207,0,0,0,0,0,0
-21.8953578944835,1.10800777163267,-3.61380848211834,-4.26810893559178,4.87212415966692,-3.4367353958179,0,0,0,0,0,0
-22.864107070055,1.26852379679763,-3.70659714124856,-4.30523790097654,4.68428459277058,-3.48559877734139,0,0,0,0,0,0
-23.8333603678312,1.43618003388717,-3.78825161107313,-4.34506439754152,4.54678150318727,-3.51927524499464,0,0,0,0,0,0
-24.7991584868627,1.61259920100744,-3.869487046215,-4.38090166362878,4.41048658089718,-3.53262099556108,0,0,0,0,0,0
-25.7645261873295,1.78237191812522,-3.95378264292096,-4.42036668079753,4.28345135627249,-3.53070348298898,0,0,0,0,0,0
-26.7258809035081,1.96190208357467,-4.06175112301807,-4.45877188900051,4.11014420684518,-3.51457561317885,0,0,0,0,0,0
-27.6856120720139,2.13374994330968,-4.15071022743824,-4.489726377658,3.94394628515584,-3.50769926802123,0,0,0,0,0,0
-28.6383690226299,2.28719125468675,-4.20236084649189,-4.50996100728948,3.78951296770915,-3.50928841046179,0,0,0,0,0,0
-29.5903039325023,2.42229170677334,-4.22810755510076,-4.52083509472441,3.66407298836423,-3.51474001339384,0,0,0,0,0,0
